Module Resource Usage Distribution Estimates
Generated at: Aug 28, 2026 10:46:04

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
   +xefx_fifo_ctl:efx_fifo_ctl_299bcbbe77b846fd9ff9237dee808eb2_renamed_due_excessive_length_8	     64(32)	     10(10)	     50(26)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_299bcbbe77b846fd9ff9237dee808eb2(WIDTH=8)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_299bcbbe77b846fd9ff9237dee808eb2(STAGE=2,WIDTH=8)	     16(16)	       0(0)	       3(3)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_299bcbbe77b846fd9ff9237dee808eb2(WIDTH=8)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_299bcbbe77b846fd9ff9237dee808eb2(STAGE=2,WIDTH=8)	     16(16)	       0(0)	       7(7)	     0(0)	     0(0)	
+MuxGpio_SignalSwitch_inst:MuxGpio_SignalSwitch             	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
+flash_ctrl_inst:flash_ctrl                                 	    286(44)	       0(0)	   1074(63)	     1(0)	     0(0)	
 +asmi_flash_ctl_inst:asmi_flash_ctl                        	     242(0)	       0(0)	    1011(0)	     1(0)	     0(0)	
  +u_efx_flash_controller_top:efx_flash_controller_top_809e05252d5b4e67b40dadb316b19da2(SCLK_DIV=4)	     242(0)	       0(0)	    1011(0)	     1(0)	     0(0)	
   +u_efx_spi_shifter:efx_spi_shifter_809e05252d5b4e67b40dadb316b19da2(SCLK_FREQ=3)	   148(148)	       0(0)	   852(852)	     0(0)	     0(0)	
   +u_wfifo:dual_clock_fifo_wrapper_809e05252d5b4e67b40dadb316b19da2(OUTPUT_REG="FALSE",AFULL_THRESHOLD=32'b0100000000)	      53(0)	       0(0)	      59(0)	     1(0)	     0(0)	
    +genblk1.inst_dual_clock_fifo:dual_clock_fifo_809e05252d5b4e67b40dadb316b19da2(AFULL_THRESHOLD=32'b0100000000)	     53(53)	       0(0)	     59(59)	     1(0)	     0(0)	
     +inst_simple_dual_port_ram:simple_dual_port_ram_809e05252d5b4e67b40dadb316b19da2(ADDR_WIDTH=8,OUTPUT_REG="FALSE")	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
   +u_efx_command_ctl:efx_command_ctl_809e05252d5b4e67b40dadb316b19da2	     41(41)	       0(0)	   100(100)	     0(0)	     0(0)	
+watchdogs_INST:watchdogs                                   	     62(62)	       0(0)	     93(93)	     0(0)	     0(0)	
+LED_state_inst:LED_state                                   	     49(49)	     21(21)	     40(40)	     0(0)	     0(0)	
+i2cSlave0_inst:i2cSlave                                    	    570(23)	       0(0)	    731(19)	     0(0)	     0(0)	
 +u_registerInterface:registerInterface                     	   502(502)	       0(0)	   465(465)	     0(0)	     0(0)	
 +u_serialInterface:serialInterface                         	     45(45)	       0(0)	   247(247)	     0(0)	     0(0)	
